mida_1000,algoritme,temps_ms,grup
0.8,mergesort,0.08106231689453125,A
1.2,mergesort,0.12493133544921875,A
1.1,mergesort,0.11301040649414062,A
1.6,mergesort,0.164031982421875,A
4,mergesort,0.3563,B
0.5,quicksort,0.017881393432617188,A
10,mergesort,1.3988,B
3,quicksort,0.1372,B
5,quicksort,0.3338,B
1.3,quicksort,0.04792213439941406,A
3.6,quicksort,0.1518726348876953,A
3,quicksort,0.1270771026611328,A
6,mergesort,0.8008,B
3,mergesort,0.2924,B
8,quicksort,0.517,B
3.3,mergesort,0.37598609924316406,A
0.1,mergesort,0.013113021850585938,A
2.5,quicksort,0.10180473327636719,A
2.7,mergesort,0.3349781036376953,A
0.6,mergesort,0.06079673767089844,A
2.8,mergesort,0.3020763397216797,A
3.7,mergesort,0.8299350738525391,A
3.4,mergesort,0.3590583801269531,A
0.6,mergesort,0.10204315185546875,A
1.7,mergesort,0.18405914306640625,A
0.2,quicksort,0.010013580322265625,A
4.9,quicksort,0.2560615539550781,A
4,quicksort,0.247,B
2.5,quicksort,0.09703636169433594,A
3.5,mergesort,0.3719329833984375,A
1.3,quicksort,0.04982948303222656,A
1.9,mergesort,0.19478797912597656,A
2,mergesort,0.1863,B
1.7,mergesort,0.17595291137695312,A
2.1,quicksort,0.08296966552734375,A
5,quicksort,0.22482872009277344,A
3.4,quicksort,0.1418590545654297,A
1.7,mergesort,0.1780986785888672,A
4.7,quicksort,0.20599365234375,A
2.2,quicksort,0.08797645568847656,A
6,quicksort,0.33149999999999996,B
4.2,quicksort,0.17499923706054688,A
4,mergesort,0.3853,B
3,quicksort,0.171,B
1.2,quicksort,0.04410743713378906,A
5,quicksort,0.3513,B
4.7,quicksort,0.2079010009765625,A
2.4,mergesort,0.2529621124267578,A
8,mergesort,1.2310999999999999,B
3.6,quicksort,0.1499652862548828,A
3.6,mergesort,0.40912628173828125,A
0.4,mergesort,0.04100799560546875,A
3.3,mergesort,0.3459453582763672,A
1.2,mergesort,0.1239776611328125,A
4.9,mergesort,0.5290508270263672,A
1.7,mergesort,0.17595291137695312,A
2.6,mergesort,0.2760887145996094,A
1.6,quicksort,0.06008148193359375,A
2.5,quicksort,0.10204315185546875,A
0.6,quicksort,0.02193450927734375,A
3,quicksort,0.24409999999999998,B
2.2,quicksort,0.0858306884765625,A
3.2,mergesort,0.3509521484375,A
6,mergesort,0.8048000000000001,B
3.2,quicksort,0.13709068298339844,A
1.4,quicksort,0.052928924560546875,A
3.4,quicksort,0.15091896057128906,A
3.9,quicksort,0.164031982421875,A
10,mergesort,1.3613,B
4,mergesort,0.41484832763671875,A
2,mergesort,0.20313262939453125,A
3,quicksort,0.12493133544921875,A
